date_id,date,year,month,day
1,2019-01-01,2019,1,1
2,2019-01-02,2019,1,2
3,2019-01-03,2019,1,3
4,2019-01-04,2019,1,4
5,2019-01-05,2019,1,5
6,2019-01-06,2019,1,6
7,2019-01-07,2019,1,7
8,2019-01-08,2019,1,8
9,2019-01-09,2019,1,9
10,2019-01-10,2019,1,10
11,2019-01-11,2019,1,11
12,2019-01-12,2019,1,12
13,2019-01-13,2019,1,13
14,2019-01-14,2019,1,14
15,2019-01-15,2019,1,15
16,2019-01-16,2019,1,16
17,2019-01-17,2019,1,17
18,2019-01-18,2019,1,18
19,2019-01-19,2019,1,19
20,2019-01-20,2019,1,20
21,2019-01-21,2019,1,21
22,2019-01-22,2019,1,22
23,2019-01-23,2019,1,23
24,2019-01-24,2019,1,24
25,2019-01-25,2019,1,25
26,2019-01-26,2019,1,26
27,2019-01-27,2019,1,27
28,2019-01-28,2019,1,28
29,2019-01-29,2019,1,29
30,2019-01-30,2019,1,30
31,2019-01-31,2019,1,31
32,2019-02-01,2019,2,1
33,2019-02-02,2019,2,2
34,2019-02-03,2019,2,3
35,2019-02-04,2019,2,4
36,2019-02-05,2019,2,5
37,2019-02-06,2019,2,6
38,2019-02-07,2019,2,7
39,2019-02-08,2019,2,8
40,2019-02-09,2019,2,9
41,2019-02-10,2019,2,10
42,2019-02-11,2019,2,11
43,2019-02-12,2019,2,12
44,2019-02-13,2019,2,13
45,2019-02-14,2019,2,14
46,2019-02-15,2019,2,15
47,2019-02-16,2019,2,16
48,2019-02-17,2019,2,17
49,2019-02-18,2019,2,18
50,2019-02-19,2019,2,19
51,2019-02-20,2019,2,20
52,2019-02-21,2019,2,21
53,2019-02-22,2019,2,22
54,2019-02-23,2019,2,23
55,2019-02-24,2019,2,24
56,2019-02-25,2019,2,25
57,2019-02-26,2019,2,26
58,2019-02-27,2019,2,27
59,2019-02-28,2019,2,28
60,2019-03-01,2019,3,1
61,2019-03-02,2019,3,2
62,2019-03-03,2019,3,3
63,2019-03-04,2019,3,4
64,2019-03-05,2019,3,5
65,2019-03-06,2019,3,6
66,2019-03-07,2019,3,7
67,2019-03-08,2019,3,8
68,2019-03-09,2019,3,9
69,2019-03-10,2019,3,10
70,2019-03-11,2019,3,11
71,2019-03-12,2019,3,12
72,2019-03-13,2019,3,13
73,2019-03-14,2019,3,14
74,2019-03-15,2019,3,15
